nohup: les entrées sont ignorées

   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-05-17 23:05:16 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:05:18 /api/mesure .................................. ~ 0.11ms
  2026-05-17 23:05:20 /api/mesure .................................. ~ 0.13ms
  2026-05-17 23:05:22 /api/mesure .................................. ~ 0.25ms
  2026-05-17 23:05:24 /api/mesure .................................. ~ 0.10ms
  2026-05-17 23:05:26 /api/mesure .................................. ~ 0.26ms
  2026-05-17 23:05:28 /api/mesure .................................. ~ 0.12ms
  2026-05-17 23:05:30 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:05:32 /api/mesure .................................. ~ 0.09ms
  2026-05-17 23:05:34 /api/mesure .................................. ~ 0.32ms
  2026-05-17 23:05:34 /sw.js ....................................... ~ 0.20ms
  2026-05-17 23:05:35 /sms ......................................... ~ 0.10ms
  2026-05-17 23:05:35 /api/mesure ...................................... ~ 1s
  2026-05-17 23:05:37 /sw.js ....................................... ~ 0.96ms
  2026-05-17 23:05:37 /api/mesure .................................. ~ 0.08ms
  2026-05-17 23:05:38 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:05:38 /sms ......................................... ~ 0.42ms
  2026-05-17 23:05:38 /api/mesure ...................................... ~ 1s
  2026-05-17 23:05:40 /sw.js ....................................... ~ 0.10ms
  2026-05-17 23:05:42 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:05:44 /api/mesure .................................. ~ 0.13ms
  2026-05-17 23:05:44 /api/mesure .................................. ~ 0.04ms
  2026-05-17 23:05:45 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:05:46 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:05:47 /api/mesure .................................. ~ 0.44ms
  2026-05-17 23:05:48 /api/mesure .................................. ~ 0.26ms
  2026-05-17 23:05:49 /api/mesure .................................. ~ 0.33ms
  2026-05-17 23:05:50 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:05:51 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:05:52 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:05:53 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:05:54 /api/mesure .................................. ~ 0.23ms
  2026-05-17 23:05:55 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:05:56 /api/mesure ................................ ~ 500.71ms
